date,delta_deg,E_day_kWh
2024-07-22,10,1.1506071116180898
2024-07-22,11,1.1505080754132462
2024-07-22,12,1.1502010432183576
2024-07-22,13,1.1496866660458671
2024-07-22,14,1.1491851965015718
2024-07-23,10,0.9718660661238856
2024-07-23,11,0.97083279463896
2024-07-23,12,0.9696150467512964
2024-07-23,13,0.9682616771590968
2024-07-23,14,0.9668986866222036
2024-07-24,10,0.5670505763052525
2024-07-24,11,0.5660926414853793
2024-07-24,12,0.5650948267113499
2024-07-24,13,0.5640804038319012
2024-07-24,14,0.5630348500923371
2024-07-25,10,1.1745149997903355
2024-07-25,11,1.174405046560171
2024-07-25,12,1.1741381938928197
2024-07-25,13,1.1736600018268928
2024-07-25,14,1.1729729575790528
2024-07-26,10,0.9795845819514092
2024-07-26,11,0.9794513159164896
2024-07-26,12,0.9791409537962317
2024-07-26,13,0.9786537945962674
2024-07-26,14,0.9779901571544161
2024-07-27,10,0.3900309194121779
2024-07-27,11,0.3891750544156462
2024-07-27,12,0.3882744060175164
2024-07-27,13,0.3873292364051623
2024-07-27,14,0.38633982084840607
2024-07-28,10,1.0283987845626708
2024-07-28,11,1.028099165039025
2024-07-28,12,1.0276154865269258
2024-07-28,13,1.0269481813656993
2024-07-28,14,1.0260977034239047
2024-07-29,10,0.8668182144320339
2024-07-29,11,0.8659850466431228
2024-07-29,12,0.8649944817032503
2024-07-29,13,0.8638466803960273
2024-07-29,14,0.8625418289470252
2024-07-30,10,1.2193265763342915
2024-07-30,11,1.219058077060119
2024-07-30,12,1.2185767660968672
2024-07-30,13,1.217883200271893
2024-07-30,14,1.2169779323398187
2024-07-31,10,1.2591168723749728
2024-07-31,11,1.258749253197705
2024-07-31,12,1.2581700765982209
2024-07-31,13,1.2573797926989636
2024-07-31,14,1.2563788233910365
2024-08-01,10,1.2169113563054874
2024-08-01,11,1.2166085636261936
2024-08-01,12,1.2161005112019123
2024-08-01,13,1.215387535467412
2024-08-01,14,1.2144699479230785
2024-08-02,10,1.0739597503742557
2024-08-02,11,1.073560179068674
2024-08-02,12,1.0729770861195997
2024-08-02,13,1.0722110164471983
2024-08-02,14,1.0712625191091707
2024-08-03,10,1.2236675060077633
2024-08-03,11,1.2231183635624503
2024-08-03,12,1.2223614042257713
2024-08-03,13,1.2213971029509765
2024-08-03,14,1.220225906688391
2024-08-04,10,0.9466586463607884
2024-08-04,11,0.94617555367159
2024-08-04,12,0.9455308560681727
2024-08-04,13,0.9447249756148748
2024-08-04,14,0.9437583485856976
2024-08-05,10,0.6540506306622417
2024-08-05,11,0.6531302410644398
2024-08-05,12,0.6521145848868403
2024-08-05,13,0.6510039733921514
2024-08-05,14,0.6497987400845784
2024-08-06,10,1.2513635200114206
2024-08-06,11,1.2506471447206913
2024-08-06,12,1.2497169774472088
2024-08-06,13,1.2485734677349178
2024-08-06,14,1.2472170496034192
2024-08-07,10,1.1458832037720093
2024-08-07,11,1.145252724938533
2024-08-07,12,1.1444260927222905
2024-08-07,13,1.143403723198305
2024-08-07,14,1.1421860271736597
2024-08-08,10,0.41206000769397
